,1H4,1H6,2H4,2H6,3H6,Ado,Ant,AWW,AYL,Cor,Cym,Err,H5,H8,Ham,JC,Jn,LLL,Lr,Luc,Mac,MM,MND,MV,Oth,Per,PhT,R2,R3,Rom,Shr,Son,TGV,Tim,Tit,Tmp,TN,TNK,Tro,Ven,Wiv,WT
clarence,0,2,21,5,101,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
general,5,7,8,3,1,0,6,9,2,35,2,0,5,6,7,10,1,3,5,3,4,3,0,1,33,4,0,1,4,2,0,3,1,9,5,0,0,2,22,0,0,0
holy,4,9,5,4,3,4,3,9,4,2,8,5,2,12,2,2,17,2,3,3,3,9,1,7,1,4,0,4,22,21,0,4,5,2,3,4,3,8,3,0,1,5
hundred,13,4,6,6,4,3,2,6,4,7,3,6,17,4,4,5,5,7,11,2,2,4,3,2,7,2,2,5,2,5,8,3,3,4,3,2,2,7,2,4,10,3
run,9,7,6,7,3,3,4,7,5,5,4,7,6,5,2,16,6,3,6,1,1,3,9,14,3,1,0,2,2,14,2,1,5,0,1,5,2,10,4,2,10,4
toby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0
doctor,0,0,1,0,0,1,0,1,0,0,5,3,0,2,4,0,0,0,10,0,29,0,0,19,0,0,0,0,1,0,0,1,0,0,0,0,0,41,0,0,97,0
editors,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
given,9,4,1,11,2,1,9,7,6,9,11,1,6,10,10,4,2,3,5,0,8,7,3,6,5,5,0,4,5,1,1,4,2,4,4,6,7,5,5,0,8,5
readers,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
air,3,2,3,8,4,3,7,2,1,6,13,0,9,2,13,4,3,6,8,3,15,2,3,3,4,8,0,5,5,6,1,4,3,8,2,12,5,5,8,4,0,8
benedick,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
helen,0,1,1,0,1,0,0,146,1,0,1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,51,0,0,0
remember,3,7,10,2,1,5,5,3,9,6,6,2,3,9,12,8,4,3,8,0,4,4,1,3,2,10,0,9,9,6,2,2,2,2,2,11,8,10,4,0,8,6
editorial,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,6,5,5,5,4,5,5,5,5,5,5,5,4,5,5
â,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
line,7,4,4,4,5,7,3,6,3,3,4,3,10,4,8,3,6,3,7,1,7,5,13,8,5,4,0,3,4,4,3,3,5,3,3,17,7,4,4,0,3,4
patience,3,3,3,2,4,7,7,3,8,6,8,7,5,17,5,6,1,4,7,5,3,3,5,2,14,8,0,6,6,5,6,2,4,0,5,3,3,5,9,0,4,4
wear,5,10,3,8,10,15,2,8,8,3,8,2,18,3,4,4,2,4,10,1,5,2,2,8,4,1,0,1,11,4,7,3,4,7,1,1,3,1,5,3,2,3
work,2,3,4,6,1,0,6,4,3,16,9,0,12,7,12,9,10,0,4,6,4,3,4,3,15,2,0,1,5,4,2,4,0,9,2,11,5,5,6,1,0,9
bastard,2,34,1,2,0,6,0,0,1,1,0,1,2,0,1,1,107,1,11,1,0,1,0,2,0,0,0,1,1,0,0,3,1,3,1,1,0,1,13,0,0,8
further,9,2,3,5,5,3,11,13,6,15,8,0,1,16,12,6,4,1,12,1,9,3,5,1,4,5,0,7,0,2,0,0,0,4,1,7,5,7,1,1,5,0
comfort,1,3,4,9,2,4,7,3,5,4,11,3,3,9,1,2,9,3,5,1,6,11,2,0,5,7,0,11,14,10,2,5,0,3,4,9,3,9,1,0,3,13
french,0,36,4,8,6,0,0,13,0,0,0,0,73,11,5,0,22,6,2,0,1,2,2,3,0,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,5,0
seem,3,1,5,2,6,5,6,9,5,12,8,1,6,1,11,5,3,2,8,4,7,5,6,3,7,7,1,5,2,3,5,12,3,2,2,4,4,2,6,7,1,7
lucentio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,205,0,0,0,0,0,0,0,0,0,0,0
point,8,2,4,7,7,4,4,8,3,7,10,1,6,10,7,8,4,5,5,3,6,7,3,1,4,3,1,7,3,6,3,3,1,3,6,4,4,3,3,3,5,6
women,0,4,3,1,6,3,23,2,12,5,10,2,6,13,3,4,1,5,4,5,5,10,1,1,3,3,0,2,2,4,6,3,5,9,1,3,4,10,5,1,6,10
gracious,4,9,4,10,16,1,5,5,1,3,4,3,8,6,6,1,3,4,2,0,7,7,4,2,3,1,0,12,24,1,0,5,3,1,15,1,3,1,1,0,0,14
need,9,3,8,5,6,3,3,8,1,5,6,2,2,4,4,5,11,2,11,1,3,5,1,3,0,6,0,5,12,11,4,6,7,6,1,2,2,2,4,1,4,11
shepherd,0,7,0,2,3,0,0,0,28,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,148
goes,3,4,3,5,3,8,6,7,3,5,2,1,5,7,15,7,4,4,7,5,9,5,4,2,5,2,0,4,2,5,4,1,4,6,3,3,6,5,10,3,6,7
known,4,3,6,6,2,7,7,8,2,10,11,1,2,9,8,4,2,2,11,1,10,5,3,3,11,8,0,3,1,4,4,1,2,5,4,2,3,3,5,0,5,11
loved,2,0,3,4,1,13,6,9,13,13,6,1,1,9,6,6,2,1,9,1,2,2,4,6,12,5,1,1,1,3,3,5,10,2,4,6,1,12,6,2,1,6
works,4,4,4,5,4,4,4,5,4,4,5,4,5,5,5,4,4,4,4,6,4,4,4,5,7,7,5,5,4,4,4,8,4,5,4,8,4,5,5,5,6,4
grave,1,7,5,6,4,1,4,3,1,9,8,1,5,4,15,0,8,0,3,4,5,3,0,2,5,6,0,11,8,17,3,3,4,8,10,2,5,4,0,4,0,12
mercy,5,5,2,6,9,3,2,4,3,10,2,1,16,6,6,0,6,3,5,1,2,17,2,13,5,1,0,4,6,5,2,1,1,3,2,8,3,14,5,0,3,5
berowne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
black,0,4,3,8,5,2,2,4,4,1,1,1,8,4,8,1,6,9,5,13,8,1,5,1,8,3,0,7,8,11,0,13,7,3,14,1,4,7,1,4,4,2
coming,3,1,12,3,4,3,3,4,10,7,3,3,7,6,8,4,1,8,10,3,7,4,5,5,4,5,0,5,3,4,13,2,5,4,2,3,4,3,2,1,9,5
pleasure,4,3,2,10,8,2,12,9,2,1,8,0,3,15,4,4,2,4,7,3,5,8,2,2,8,7,0,2,5,5,6,11,2,3,3,3,6,5,6,2,1,2
tonight,9,2,5,2,0,10,8,10,0,3,3,4,3,1,11,9,5,2,5,0,10,2,1,11,24,5,0,0,6,15,4,0,0,1,0,3,1,1,6,0,7,3
born,3,5,5,10,6,5,2,9,6,1,11,4,3,3,3,3,8,6,5,3,9,6,2,2,4,12,0,4,3,3,3,6,0,7,1,4,7,2,3,0,3,15
person,5,1,8,7,6,3,6,1,4,9,6,4,8,18,5,2,4,9,6,2,4,7,3,2,3,2,1,8,8,3,1,1,2,1,4,5,2,4,7,1,4,8
foot,11,5,5,5,5,4,5,4,5,7,7,1,7,1,3,4,15,8,5,5,2,1,2,4,1,0,0,4,7,9,6,3,1,4,2,6,3,6,4,2,4,5
pericles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leonato,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
menenius,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canst,5,12,7,7,9,2,1,5,5,0,2,1,6,2,3,2,5,3,9,1,3,2,2,3,4,8,0,5,10,7,7,7,5,5,8,7,1,6,5,4,1,4
country,1,14,1,8,5,0,2,5,7,37,8,0,7,3,4,6,2,2,2,1,6,1,1,1,6,7,0,6,7,1,0,0,0,3,22,3,2,7,2,0,2,3
praise,8,5,2,3,1,9,6,5,3,6,6,1,7,2,2,1,1,27,2,2,0,0,1,5,6,3,0,0,1,0,0,28,4,5,3,2,6,2,17,0,2,4
prospero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,154,1,1,1,1,1,1
sad,3,2,6,2,4,13,9,1,6,1,3,4,3,10,0,4,10,4,2,21,1,1,4,9,0,2,1,10,7,5,2,7,4,1,10,1,9,5,1,1,0,4
sake,8,6,5,2,6,5,1,7,8,3,2,8,2,7,0,4,2,8,2,5,1,5,6,5,4,2,0,4,10,4,8,8,11,3,5,1,4,8,3,1,3,1
single,6,4,4,4,6,5,6,7,4,8,6,3,3,7,5,4,3,4,4,3,6,3,7,4,3,4,4,3,3,5,3,7,3,7,4,5,3,4,7,3,3,3
heavy,5,1,10,3,5,7,4,6,1,2,4,2,4,2,7,4,6,6,4,8,4,3,2,2,8,4,0,14,14,10,2,6,3,2,5,4,0,3,3,6,1,3
kent,1,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,2,0,178,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pistol,2,0,59,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,42,0
serve,3,1,7,4,3,6,7,21,3,9,7,3,8,2,2,1,1,8,9,1,2,4,3,8,2,4,0,5,4,6,5,0,6,9,7,4,4,2,4,0,4,3
captain,2,14,17,3,2,0,12,21,0,2,8,0,33,0,9,0,0,0,8,2,5,2,1,0,3,0,0,5,4,1,0,2,4,6,3,0,17,0,2,1,0,2
certain,8,2,13,0,0,5,9,3,2,11,6,3,9,10,4,6,4,7,5,2,5,6,5,6,7,6,0,0,1,1,0,1,3,8,1,6,4,6,3,1,1,5
sin,5,3,3,6,4,6,1,4,5,2,5,3,9,5,3,0,12,5,1,18,2,17,0,3,5,9,0,5,5,14,0,8,0,7,2,2,3,1,2,0,1,2
ears,3,1,6,0,6,3,4,6,1,14,7,9,3,2,10,5,5,4,1,5,2,0,2,4,3,7,0,4,7,10,5,2,1,5,7,5,2,3,8,9,2,6
next,9,7,3,12,4,4,7,5,1,1,4,1,2,13,5,2,2,2,1,1,1,4,8,5,7,4,0,7,5,7,3,2,4,3,2,6,1,11,6,1,3,7
something,0,1,4,0,1,1,6,8,9,5,9,4,2,8,15,2,2,3,8,1,4,5,4,11,11,4,0,2,5,4,2,2,1,3,1,5,7,5,5,0,5,17
warrant,3,5,8,3,1,12,2,3,5,7,2,5,8,2,4,0,8,1,1,2,1,13,1,1,7,6,0,2,5,11,4,0,5,2,3,5,6,5,3,0,22,5
weep,2,3,3,3,8,2,9,3,6,5,6,2,3,5,4,6,2,2,9,8,2,2,1,0,11,6,0,7,12,10,3,3,5,5,8,4,1,8,6,1,0,4
didst,6,5,9,3,7,3,4,3,6,0,5,11,8,1,5,8,10,1,6,1,4,0,3,1,8,2,0,3,12,6,4,3,7,3,4,12,1,0,1,3,1,5
doubt,3,2,4,3,9,5,2,1,1,9,6,3,10,9,11,4,7,3,1,0,4,2,4,5,8,9,0,3,18,4,6,2,1,7,0,5,2,3,3,2,3,4
hang,9,4,7,5,0,13,7,3,2,8,2,1,2,2,4,0,8,5,4,2,8,4,6,2,4,3,0,1,1,5,3,3,1,7,6,7,7,6,2,2,12,3
orlando,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rich,6,2,4,2,1,5,2,4,4,3,9,1,2,3,3,2,9,7,3,6,1,3,4,9,3,7,0,3,0,10,6,11,3,14,1,7,3,0,6,4,3,8
sebastian,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,90,54,0,0,0,0,0
side,6,18,3,7,5,4,7,1,3,7,4,0,1,9,2,5,12,7,7,5,0,3,4,2,7,1,0,7,9,7,2,6,0,0,5,1,4,3,2,2,2,4
whether,3,4,8,3,5,2,2,8,4,12,2,2,2,4,8,5,5,3,6,3,5,7,5,11,5,4,2,4,4,2,2,9,3,3,3,4,2,6,4,3,4,4
anne,0,0,0,2,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,1,0,0,0,0,0,1,0,0,0,84,0
cressida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,187,0,0,0
cut,6,1,3,7,5,3,4,1,11,6,6,1,14,1,2,6,3,2,5,0,3,5,4,10,2,5,0,5,5,4,7,1,1,6,16,1,3,6,4,0,4,4
door,7,2,12,3,3,2,4,1,1,5,5,14,3,16,5,2,4,2,3,4,5,1,3,2,6,9,0,8,4,3,6,0,0,1,11,0,2,2,5,1,10,5
ephesus,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ground,9,5,8,6,7,1,1,1,2,5,14,1,4,2,11,4,7,5,2,3,2,3,7,3,0,5,0,12,4,10,2,3,2,1,4,5,3,5,0,6,1,4
highness,1,6,5,20,7,1,4,6,4,0,12,1,14,38,1,0,8,1,8,0,6,2,1,0,0,2,0,10,8,0,0,0,0,0,6,3,0,0,0,0,0,13
princess,0,1,0,1,0,0,1,0,4,0,7,0,7,6,0,0,2,138,1,1,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,10
sons,3,2,3,8,13,1,1,2,1,3,16,6,1,0,1,0,2,2,2,2,5,0,0,0,0,0,0,6,13,0,0,0,1,2,79,1,0,2,5,1,1,1
stands,4,6,3,8,10,0,6,4,3,7,5,3,6,6,4,2,2,5,11,2,5,8,2,2,6,6,0,8,3,4,8,3,6,0,3,3,1,5,5,3,2,5
watch,3,9,4,4,13,19,11,0,1,22,1,0,4,0,16,2,2,2,1,2,3,0,1,4,13,0,0,3,4,19,8,2,1,0,0,2,2,1,3,1,3,0
haste,7,4,0,2,5,4,5,8,1,2,2,4,2,5,12,4,9,2,5,6,3,10,3,6,5,4,0,6,7,14,5,3,3,2,0,0,2,6,5,4,3,1
hate,2,1,2,2,3,2,4,6,6,18,4,0,0,4,1,1,2,1,5,4,2,1,9,5,6,1,0,13,16,12,0,17,8,11,1,4,4,2,3,2,0,1
hot,14,3,6,7,1,3,2,0,2,1,5,3,9,3,6,3,12,2,6,6,0,1,1,2,3,1,0,5,3,7,5,3,2,2,1,2,1,3,15,8,7,8
trust,7,8,2,3,4,9,7,7,3,5,7,4,5,3,2,1,5,2,7,2,4,3,5,2,4,2,0,1,5,5,7,5,6,4,4,2,4,2,3,0,9,11
command,3,11,3,11,7,1,10,8,1,3,9,2,6,4,10,0,3,3,3,2,6,6,0,1,7,5,0,5,4,0,9,0,5,3,1,8,4,5,7,0,2,6
pandarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,185,0,1,0
fault,5,1,2,3,6,3,4,3,6,4,6,5,7,2,5,4,9,5,8,8,0,12,3,3,4,1,0,6,4,4,4,3,6,4,3,2,3,0,4,3,11,5
parolles,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
truly,6,2,2,2,0,15,3,8,16,5,8,0,5,6,8,8,4,2,4,1,2,8,6,4,8,0,0,3,3,3,1,5,2,2,1,0,4,7,2,0,11,3
ask,3,2,1,5,4,5,6,11,6,8,9,2,3,5,2,2,6,6,9,3,1,7,3,3,7,6,0,4,2,5,8,0,4,4,5,2,5,9,3,0,6,0
behold,3,7,1,4,2,1,10,2,0,8,4,3,15,4,2,4,4,6,5,11,4,3,3,4,5,3,0,3,5,7,0,7,1,3,9,2,1,4,9,2,2,9
merry,5,0,20,4,2,10,5,1,8,1,2,11,3,8,2,2,2,9,1,3,0,3,4,11,3,1,0,2,2,8,9,0,2,2,4,4,4,5,3,1,6,7
northumberland,22,0,38,0,28,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0
talbot,0,183,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ah,2,3,8,20,29,4,9,1,1,1,2,3,2,3,5,0,3,5,1,0,0,0,2,0,1,0,0,8,17,16,1,7,1,2,14,0,1,1,7,0,2,0
enemy,4,6,8,11,4,2,2,8,5,17,9,0,10,3,3,10,3,0,6,2,4,1,0,3,3,2,0,7,7,6,0,0,2,3,5,2,5,6,5,1,1,4
hearts,6,4,1,5,2,3,11,4,1,10,3,0,8,9,2,11,6,1,4,4,3,0,5,4,7,1,1,8,9,4,1,4,0,9,2,4,2,4,2,0,9,4
portia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
themselves,3,3,10,0,3,2,7,5,4,8,5,0,5,4,5,6,5,3,6,7,6,6,5,4,4,3,1,3,7,0,1,6,0,7,3,2,3,5,6,6,3,9
worse,6,0,8,5,2,4,5,3,5,6,10,6,1,3,3,4,2,3,9,1,4,4,3,5,5,5,0,7,3,3,7,5,2,4,6,4,6,4,3,5,2,5
bolingbroke,7,1,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,5,4,5,1,2,7,4,4,6,10,10,3,9,6,14,6,3,0,3,2,0,2,0,4,4,1,0,3,5,10,7,0,2,9,2,1,2,8,6,1,3,4
hell,2,9,1,9,5,3,1,1,0,2,5,3,8,3,10,2,8,1,3,5,10,2,5,3,14,3,0,7,15,5,3,10,0,0,6,1,5,0,4,0,6,1
sick,5,3,17,1,1,8,3,3,1,2,13,0,5,10,5,11,10,6,5,3,2,2,3,5,1,1,0,7,3,7,0,6,2,7,0,0,4,2,10,3,1,0
slave,2,3,4,3,1,2,5,4,2,7,5,11,6,2,6,3,5,4,15,7,4,1,1,2,9,1,1,4,6,4,4,7,4,7,6,9,1,1,5,2,1,2
voice,1,3,7,3,1,2,1,2,4,12,3,2,8,6,12,6,2,2,5,2,2,5,15,6,8,3,0,0,6,5,1,1,1,3,2,6,9,2,13,5,2,1
brave,6,11,2,11,15,1,12,1,6,7,1,0,8,1,3,5,7,3,1,1,2,1,1,1,4,0,0,1,3,2,2,3,0,2,7,14,0,13,14,0,0,2
drink,10,1,13,10,2,1,13,1,4,2,2,0,3,2,16,2,1,1,2,1,8,4,1,1,5,2,0,1,3,4,5,2,0,9,4,7,11,3,2,3,7,1
fit,0,3,2,3,1,6,2,7,0,7,15,2,2,8,12,6,4,6,11,1,4,7,3,1,7,5,0,1,1,2,7,0,6,3,6,3,4,13,1,0,2,5
knew,5,0,10,1,3,6,10,9,7,3,2,2,5,7,6,3,2,4,0,1,0,9,1,6,5,1,0,0,2,3,11,1,6,4,6,1,2,8,6,2,5,9
sing,7,1,1,1,1,11,4,5,16,1,4,1,2,3,5,0,1,5,2,4,2,0,11,3,8,5,0,4,1,2,2,7,5,0,2,5,6,13,7,1,8,5
knave,4,0,12,7,0,2,5,27,3,1,1,5,9,0,5,4,1,2,18,0,0,2,0,2,12,1,0,1,0,4,7,0,2,4,0,1,8,0,3,0,21,0
wise,2,0,5,3,5,14,3,2,11,2,4,1,0,5,2,4,0,10,9,2,2,6,2,9,8,3,0,4,5,5,2,2,4,5,2,2,8,6,8,2,7,0
course,3,2,8,1,6,3,5,6,0,4,5,3,6,6,5,5,9,1,14,4,2,6,1,3,13,6,0,2,7,4,2,3,3,4,3,2,0,4,4,2,1,6
lead,9,2,7,3,3,4,9,5,1,6,2,2,0,6,4,7,2,6,7,0,3,1,7,11,6,1,0,1,6,6,3,2,0,0,2,6,4,12,2,2,4,4
lips,3,1,0,5,4,0,10,0,5,3,5,0,5,0,2,3,4,4,3,6,3,4,5,2,9,3,0,2,2,17,3,7,0,4,5,0,5,4,8,25,2,1
english,7,34,5,3,10,0,0,3,0,0,0,0,50,9,1,0,18,0,1,0,6,1,0,2,1,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,8,0
field,6,8,8,6,13,0,7,1,0,7,4,1,16,2,1,6,10,5,3,3,2,0,4,0,3,1,0,2,9,3,3,1,0,2,2,0,1,7,18,4,1,0
straight,8,3,3,4,4,0,2,2,2,5,3,6,5,2,4,4,5,2,5,4,2,3,2,7,7,5,0,5,10,10,8,7,0,1,5,0,2,4,6,3,5,3
win,5,4,2,6,5,3,6,5,1,6,8,1,7,6,4,2,10,7,2,2,5,3,1,4,5,5,1,6,9,1,7,6,5,1,1,2,1,5,5,1,3,2
imogen,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
theseus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,108,0,0,0,0
achilles,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0
arm,5,7,5,7,9,1,7,1,6,7,7,3,10,0,5,2,6,4,9,1,5,0,1,0,3,4,0,11,11,6,0,0,0,3,6,0,0,9,4,1,0,2
hostess,37,0,62,0,0,0,0,1,0,0,0,1,18,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,3
knight,4,10,16,4,2,1,0,1,4,0,1,0,11,1,1,0,4,5,8,0,0,0,4,0,0,22,0,3,0,2,0,0,1,1,0,0,23,10,6,0,24,0
martius,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
decisions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
valiant,12,12,6,4,14,4,3,4,3,5,6,0,12,0,2,6,2,0,2,0,4,2,0,1,10,0,0,1,3,2,0,0,1,5,7,2,3,4,17,0,1,0
isabella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ladies,2,1,0,2,1,5,1,0,8,15,11,0,3,21,3,0,2,27,2,2,0,0,10,2,0,4,0,5,1,5,3,1,2,8,3,0,1,13,0,0,1,4
unless,5,1,5,8,13,5,0,5,4,5,6,5,4,1,3,1,2,2,1,3,1,2,1,9,4,5,0,4,7,6,3,6,9,0,4,3,7,3,6,2,3,2
deed,2,0,2,6,5,0,5,5,2,4,3,0,0,4,10,8,7,1,1,10,15,4,0,7,7,5,0,5,14,1,1,0,0,3,14,2,1,4,3,0,0,7
demetrius,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
revenge,2,7,3,5,15,2,0,1,2,8,5,0,3,2,12,4,5,0,2,6,2,1,2,5,8,1,0,3,9,1,1,1,2,3,30,1,4,1,2,0,4,2
strike,3,5,2,4,8,3,10,1,0,6,4,1,7,1,2,4,4,1,11,1,5,2,5,0,7,5,0,4,9,5,2,0,3,6,5,3,1,4,10,3,2,7
ten,6,6,7,14,11,5,4,8,2,3,4,0,5,3,4,0,2,0,2,1,5,7,2,6,2,0,0,6,5,2,3,7,2,0,4,4,0,5,4,3,7,2
fie,3,4,5,4,0,3,5,0,1,7,2,5,1,3,6,0,0,1,7,0,3,9,3,6,6,2,0,0,2,6,14,0,5,6,7,1,4,3,7,6,14,4
moby,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
oath,7,1,2,5,20,1,2,2,3,2,3,2,6,2,2,4,7,15,4,5,0,3,5,9,2,3,0,9,4,0,4,0,2,1,3,1,3,6,4,0,0,7
open,4,10,5,6,8,0,0,1,3,2,2,4,3,7,2,2,5,0,4,7,3,3,1,1,2,6,0,8,7,6,1,2,2,4,4,7,6,3,4,1,7,11
short,7,4,6,5,3,5,3,4,2,3,4,2,4,7,6,1,1,9,5,5,2,2,3,2,2,3,0,10,3,8,2,5,1,2,2,2,1,7,5,6,5,2
soon,5,3,5,4,8,1,5,3,2,3,6,10,5,2,1,3,3,2,2,4,4,2,3,3,2,3,0,6,5,14,5,4,4,3,4,1,2,4,5,3,7,2
beatrice,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sovereign,3,10,2,24,18,0,6,5,1,1,1,1,14,6,3,0,3,2,1,2,2,0,0,0,1,2,0,16,18,1,1,4,2,1,1,2,2,2,0,2,0,4
common,5,1,6,5,6,1,3,7,4,19,4,4,5,3,7,9,3,3,3,1,2,6,2,3,3,4,0,5,1,2,1,4,1,11,3,3,1,2,4,1,1,2
judgment,1,3,5,3,4,4,6,4,3,5,8,2,3,8,10,3,1,2,7,1,3,6,4,10,8,3,1,2,4,4,1,8,3,4,1,1,2,4,7,1,3,2
poins,61,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
question,7,4,7,2,1,8,3,6,5,2,3,1,7,4,15,3,3,3,7,0,4,4,2,7,4,1,0,0,0,2,0,2,0,1,1,1,7,11,12,0,4,5
woe,0,1,1,2,5,5,4,0,0,0,4,2,2,4,9,2,1,2,3,20,2,4,2,0,1,8,0,20,7,13,1,12,3,0,7,4,0,2,2,8,0,3
hark,5,7,2,0,3,0,7,2,0,8,8,2,3,1,1,8,1,1,4,0,7,4,2,2,7,8,0,0,4,4,8,0,4,0,8,11,0,4,15,0,5,4
hide,5,2,2,8,2,6,1,3,3,3,5,1,4,3,6,7,6,4,5,6,5,4,5,1,2,1,1,3,7,10,2,6,2,2,5,3,4,2,6,2,4,1
