,1H4,1H6,2H4,2H6,3H6,Ado,Ant,AWW,AYL,Cor,Cym,Err,H5,H8,Ham,JC,Jn,LLL,Lr,Luc,Mac,MM,MND,MV,Oth,Per,PhT,R2,R3,Rom,Shr,Son,TGV,Tim,Tit,Tmp,TN,TNK,Tro,Ven,Wiv,WT
exit,25,39,31,38,41,31,54,28,25,49,32,15,30,24,37,29,24,20,41,0,32,25,19,30,26,31,0,23,42,31,26,0,20,23,31,12,26,32,34,0,38,20
heart,17,24,28,44,41,32,38,16,34,31,28,12,24,20,30,28,17,33,47,22,22,16,21,21,28,9,0,41,41,33,13,58,20,24,38,11,24,19,40,33,23,26
doth,30,35,57,21,32,24,5,6,25,9,20,16,33,2,27,30,41,42,15,69,6,25,31,39,17,19,2,32,36,48,16,88,14,9,30,13,13,1,37,47,7,7
men,37,27,38,34,31,29,27,15,18,27,23,12,49,37,15,66,26,27,19,12,17,12,13,26,26,35,0,45,30,30,11,20,14,75,18,14,10,31,21,5,18,15
queen,3,10,1,102,131,0,47,2,1,1,66,0,11,86,120,0,34,5,5,2,3,0,17,2,0,20,1,45,198,1,1,1,1,0,22,11,2,43,22,6,7,54
duke,3,39,7,104,51,1,0,26,110,0,0,42,31,44,1,0,4,5,25,0,0,283,14,32,36,0,0,47,51,0,3,0,62,0,0,12,5,28,0,0,5,0
art,59,27,30,30,25,11,23,19,28,15,31,22,13,6,17,23,24,16,41,14,19,32,16,11,21,16,0,25,19,55,13,51,19,36,23,29,25,23,28,12,14,28
great,23,30,26,31,20,17,49,50,13,35,33,10,51,47,27,27,22,34,30,9,32,21,9,8,25,22,1,22,21,10,16,11,8,27,15,14,26,32,67,2,20,30
lady,35,12,8,11,47,66,19,20,6,9,52,3,7,54,15,3,32,40,24,3,97,3,12,27,24,16,0,7,15,110,17,0,26,2,3,4,83,21,27,1,4,33
death,20,46,24,58,41,17,35,18,7,22,27,9,16,10,37,32,37,8,22,30,20,46,14,11,14,17,2,43,69,74,6,20,7,8,28,7,9,17,16,17,5,24
god,48,24,67,62,36,66,5,22,24,8,2,15,72,33,35,3,22,31,1,3,14,2,6,20,21,9,0,67,108,33,20,3,1,5,16,7,16,8,6,3,13,1
away,33,24,32,59,37,18,20,30,18,30,28,15,19,14,27,20,26,29,40,14,12,31,24,23,27,13,1,27,13,27,23,19,22,20,30,11,24,15,10,8,29,19
life,32,25,26,34,30,15,18,27,26,12,33,18,15,26,34,13,26,6,37,30,18,49,14,22,18,33,0,33,31,24,21,24,9,14,27,15,16,31,20,9,9,39
hand,20,19,28,26,34,21,32,23,16,14,27,13,31,19,19,29,62,21,28,24,24,12,10,21,29,6,0,35,30,26,16,18,4,7,52,11,32,29,28,13,20,27
hear,40,10,24,14,32,41,38,22,14,57,23,14,21,28,33,37,25,22,26,10,18,27,20,25,26,20,0,14,27,22,25,7,16,17,15,19,13,16,21,6,24,23
made,18,14,17,32,31,19,35,18,25,42,52,16,16,36,31,18,32,14,24,12,14,34,15,19,21,23,2,25,40,24,15,21,17,18,27,17,14,34,14,9,18,27
shakespeare,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,22,22,23,13,22,22,22,22,22,23,22,22,22,22,23,22,22,22,22,22,22,22,23,22,22
aside,9,37,14,36,42,27,25,42,13,9,35,3,1,23,19,13,22,49,18,1,17,21,6,15,12,24,0,4,27,16,34,2,22,13,20,33,55,15,60,0,43,23
look,14,12,30,24,12,20,26,15,27,15,24,10,35,9,36,31,24,19,24,11,24,24,28,22,37,19,0,18,32,31,22,22,22,19,25,14,11,18,27,11,21,28
fair,17,10,13,9,14,17,8,18,24,15,15,14,32,24,21,2,28,56,10,30,6,10,34,35,22,18,1,31,29,44,23,46,21,10,12,7,15,45,49,23,11,16
TRUE,33,10,24,18,23,25,14,15,23,30,32,7,19,18,24,18,24,27,17,14,8,26,27,24,27,12,2,29,25,28,11,38,20,17,16,14,19,22,34,6,17,29
sweet,22,13,19,13,32,19,8,16,24,9,15,13,11,12,25,3,13,65,10,15,4,5,49,23,23,6,0,19,21,35,29,57,28,5,40,10,19,27,55,22,13,20
master,3,9,78,31,6,13,18,17,19,6,36,48,15,21,1,12,2,26,25,0,5,25,7,34,3,17,0,2,7,12,56,2,40,20,2,25,22,9,6,3,180,12
again,24,22,20,22,24,8,21,27,17,25,25,18,11,27,33,20,32,17,23,10,22,18,14,14,38,14,0,23,26,27,15,10,13,18,14,24,19,37,26,16,17,22
before,17,21,31,32,25,19,26,26,19,49,19,12,26,33,22,13,34,16,20,11,23,24,11,24,22,12,1,19,24,21,23,16,7,21,10,15,18,35,18,9,11,22
two,35,16,27,17,15,21,8,24,21,27,38,22,13,40,24,11,14,15,22,6,13,13,22,29,10,15,3,12,32,24,23,14,10,16,36,12,15,44,18,10,28,17
day,31,19,26,29,20,16,16,13,17,12,15,15,41,22,21,27,42,22,8,12,18,10,24,24,8,16,0,25,46,48,16,26,10,17,16,14,15,20,19,11,10,17
scene,19,27,19,24,29,18,43,23,24,31,27,11,28,16,23,19,16,11,26,0,28,17,11,20,15,24,1,21,28,26,14,0,20,17,14,9,18,25,27,0,24,17
falstaff,192,0,229,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0
richard,9,21,8,20,175,0,0,0,0,0,1,0,6,2,0,0,13,0,0,0,0,0,0,0,0,0,0,162,393,0,1,0,0,0,0,0,0,0,0,0,0,0
being,23,9,19,26,17,20,26,11,18,32,47,18,17,19,13,11,19,15,18,25,11,23,10,18,21,20,1,16,26,27,14,34,21,11,7,20,13,16,13,31,7,32
eyes,12,9,9,20,15,11,23,10,19,16,18,7,13,8,23,14,31,29,41,43,11,10,45,19,13,22,0,18,28,28,7,55,11,16,15,13,11,22,33,32,5,19
old,30,12,43,16,8,23,8,17,37,18,18,9,17,33,22,9,15,22,58,14,12,13,7,25,10,10,1,25,11,33,38,24,4,19,18,8,13,13,14,6,32,21
son,27,17,33,21,55,7,5,35,13,26,29,7,10,4,22,7,45,0,30,5,26,3,3,10,2,7,0,30,43,18,34,3,8,2,34,23,3,3,10,4,7,114
ay,8,16,2,29,53,1,14,22,19,21,20,17,11,8,39,18,8,23,21,2,17,17,11,14,34,12,0,5,29,35,31,2,47,24,21,14,26,5,35,2,46,16
world,25,11,17,21,14,13,46,17,30,22,23,8,18,20,27,19,30,30,22,7,7,17,7,17,30,16,1,22,29,20,26,35,9,16,9,8,13,26,17,12,7,13
pray,13,6,26,16,4,31,19,26,26,41,24,17,18,43,29,7,6,10,26,2,13,27,13,42,26,17,0,9,11,17,35,1,18,14,8,12,15,31,14,1,49,22
down,33,11,36,24,32,21,16,17,14,30,19,8,12,12,32,27,22,11,25,7,17,18,19,10,13,11,1,40,24,19,13,6,10,17,28,14,10,22,20,7,18,18
blood,25,29,24,24,41,14,13,15,8,24,14,5,36,8,20,26,47,15,13,19,26,10,9,16,15,10,1,44,40,19,4,9,3,11,23,4,10,18,29,11,2,18
both,13,18,23,15,37,13,22,25,10,29,22,18,14,17,28,10,17,15,22,13,19,14,14,16,8,19,1,26,31,23,19,20,5,17,20,13,12,36,20,7,16,21
henry,7,89,7,153,184,2,2,2,2,2,2,2,162,16,2,2,13,2,2,3,2,2,2,2,2,2,2,42,19,2,3,2,2,2,2,2,2,2,2,3,2,2
mistress,2,0,12,1,1,2,8,10,17,3,27,28,12,6,3,0,0,7,8,5,2,12,6,8,19,15,0,0,4,11,33,9,18,4,8,7,12,10,5,1,413,14
night,20,9,17,17,13,18,12,10,5,4,14,5,17,9,37,30,15,8,32,41,24,13,51,23,30,12,0,9,21,74,8,22,13,4,8,6,15,15,25,21,11,4
whose,19,16,20,25,25,8,20,27,7,21,32,8,23,14,33,6,32,10,26,20,15,19,9,11,15,15,2,15,16,16,6,20,12,23,17,17,8,25,27,25,5,27
honor,24,20,15,17,13,10,20,42,13,25,29,3,19,46,11,14,14,7,11,20,11,43,1,12,10,27,0,22,14,5,12,7,9,27,24,8,9,37,26,4,9,31
done,17,13,17,21,17,10,37,22,4,30,27,6,14,21,22,23,15,9,15,12,38,17,4,9,25,19,0,12,33,10,16,5,15,10,25,18,17,23,23,7,12,31
leave,19,18,16,24,39,15,20,26,15,19,29,8,11,31,29,19,13,6,12,4,15,18,15,25,21,17,0,18,21,13,24,10,17,7,14,8,15,21,22,9,15,18
name,25,20,23,25,9,22,18,20,12,33,20,16,28,15,12,16,18,21,15,10,14,17,14,8,11,17,1,29,27,24,25,17,12,7,17,7,16,12,15,3,22,15
fear,26,19,19,29,25,8,11,9,6,13,32,7,14,23,22,29,13,10,16,22,35,16,17,15,20,13,0,25,27,15,12,8,15,12,14,8,13,15,18,18,10,21
