Unnamed: 0,1H4,1H6,2H4,2H6,3H6,Ado,Ant,AWW,AYL,Cor,Cym,Err,H5,H8,Ham,JC,Jn,LLL,Lr,Luc,Mac,MM,MND,MV,Oth,Per,PhT,R2,R3,Rom,Shr,Son,TGV,Tim,Tit,Tmp,TN,TNK,Tro,Ven,Wiv,WT
thou,67.68923576402065,46.82061762333444,45.21533930482012,54.57946282948701,58.59265862577282,23.00898923203864,47.89080316901066,26.754638641905395,38.25913325792472,26.487092255486342,45.750432077658225,35.85121578015323,28.35991696041972,6.688659660476349,28.89500973325783,31.03538082461026,47.355710396172555,24.88181393697202,58.86020501219187,25.68445309622918,24.88181393697202,31.03538082461026,31.03538082461026,27.824824187581612,38.79422603076282,25.149360323391072,1.3377319320952699,47.355710396172555,55.11455560232512,74.377895424497,32.64065914312458,62.87340080847768,38.52667964434377,55.91719476158228,46.553071236915386,49.49608148752498,35.85121578015323,22.47389645920053,39.59686519001998,18.728247049333778,17.122968730819455,35.04857662089607
thy,29.69764889251499,45.21533930482012,21.67125729994337,50.03117426036309,53.50927728381079,13.912412093790806,29.69764889251499,22.741442845619588,20.065978981429048,24.614267550552963,35.04857662089607,15.785236798724183,19.263339822171886,8.561484365409727,23.276535618457693,14.447504866628915,29.162556119676882,20.3335253678481,42.53987544062958,30.767834438191205,13.912412093790806,14.715051253047967,17.390515117238508,15.785236798724183,21.403710913524318,16.587875957981346,0.267546386419054,46.82061762333444,56.98738030725849,45.21533930482012,22.741442845619588,71.70243156030647,26.487092255486342,35.583669393734176,55.11455560232512,25.951999482648233,28.092370574000665,20.86861814068621,26.754638641905395,14.982597639467022,11.236948229600266,21.13616452710526
act,28.35991696041972,29.430102506095935,30.767834438191205,31.838019983867422,32.908205529543636,24.614267550552963,36.92140132582945,28.627463346838773,25.416906709810128,36.92140132582945,35.583669393734176,19.79843259500999,30.232741665353096,30.500288051772152,40.6670507356962,26.754638641905395,28.35991696041972,27.824824187581612,34.51348384805796,1.6052783185143238,24.88181393697202,28.092370574000665,21.403710913524318,26.21954586906729,36.653854939410394,24.079174777714858,0.0,28.092370574000665,39.06177241718188,31.03538082461026,24.614267550552963,0.267546386419054,23.00898923203864,23.811628391295802,25.951999482648233,21.67125729994337,24.34672116413391,32.105566370286475,34.51348384805796,0.267546386419054,26.21954586906729,30.500288051772152
sc,27.02218502832445,28.092370574000665,28.89500973325783,29.965195278934043,30.500288051772152,23.276535618457693,33.7108446888008,25.951999482648233,24.079174777714858,34.51348384805796,32.105566370286475,18.460700662914725,27.55727780116256,28.092370574000665,35.31612300731512,24.88181393697202,24.88181393697202,26.487092255486342,31.838019983867422,0.0,22.47389645920053,25.149360323391072,20.065978981429048,24.079174777714858,32.37311275670553,21.67125729994337,0.0,26.487092255486342,37.1889477122485,29.162556119676882,25.951999482648233,0.0,21.67125729994337,22.20635007278148,24.614267550552963,19.53088620859094,22.20635007278148,29.162556119676882,31.302927211029314,0.0,24.079174777714858,28.35991696041972
thee,27.55727780116256,27.55727780116256,23.276535618457693,32.908205529543636,32.105566370286475,20.065978981429048,29.69764889251499,21.403710913524318,24.34672116413391,18.460700662914725,23.54408200487675,17.925607890076616,16.587875957981346,5.083381341962025,16.052783185143237,14.715051253047967,21.403710913524318,15.250144025886076,37.1889477122485,11.236948229600266,16.32032957156229,12.039587388857429,17.390515117238508,17.65806150365756,20.601071754267156,16.32032957156229,0.267546386419054,23.811628391295802,32.64065914312458,37.456494098667555,22.47389645920053,43.6100609863058,22.741442845619588,36.653854939410394,31.03538082461026,26.487092255486342,24.614267550552963,12.574680161695536,24.34672116413391,11.236948229600266,13.912412093790806,17.390515117238508
lord,34.51348384805796,28.092370574000665,44.1451537591439,40.39950434927715,20.601071754267156,19.263339822171886,14.447504866628915,56.71983392083944,7.758845206152565,5.618474114800133,27.02218502832445,2.407917477771486,15.51769041230513,38.79422603076282,60.19793694428714,11.772041002438375,7.758845206152565,14.715051253047967,26.487092255486342,3.4781030234477015,10.16676268392405,21.938803686362427,7.758845206152565,12.84222654811459,24.34672116413391,20.065978981429048,0.0,25.149360323391072,67.4216893776016,8.293937978990673,14.17995848020986,0.267546386419054,7.758845206152565,48.425895941848765,16.587875957981346,6.956206046895403,10.434309070343105,5.618474114800133,30.232741665353096,0.0,1.3377319320952699,23.811628391295802
king,35.583669393734176,28.35991696041972,30.767834438191205,60.19793694428714,102.47026599849767,0.535092772838108,2.407917477771486,36.38630855299134,0.535092772838108,0.535092772838108,11.236948229600266,0.267546386419054,77.05335928868755,63.943586354153894,54.84700921590606,1.6052783185143238,61.803215262801466,46.82061762333444,19.53088620859094,2.9430102506095936,11.50449461601932,1.8728247049333777,2.6754638641905397,1.070185545676216,0.535092772838108,14.447504866628915,0.535092772838108,74.11034903807794,29.965195278934043,0.8026391592571619,0.535092772838108,0.8026391592571619,1.070185545676216,0.535092772838108,3.4781030234477015,11.236948229600266,1.070185545676216,1.8728247049333777,1.8728247049333777,0.8026391592571619,1.070185545676216,16.32032957156229
now,22.741442845619588,20.3335253678481,25.951999482648233,22.741442845619588,34.51348384805796,13.644865707371752,23.811628391295802,14.715051253047967,15.785236798724183,18.460700662914725,17.925607890076616,12.84222654811459,25.149360323391072,26.487092255486342,27.02218502832445,17.122968730819455,18.460700662914725,13.377319320952697,21.13616452710526,6.688659660476349,14.447504866628915,18.19315427649567,18.19315427649567,12.84222654811459,28.35991696041972,16.8554223444004,0.535092772838108,16.32032957156229,25.149360323391072,21.938803686362427,22.47389645920053,12.574680161695536,20.601071754267156,16.587875957981346,19.263339822171886,21.67125729994337,19.263339822171886,26.21954586906729,28.89500973325783,12.84222654811459,22.47389645920053,28.092370574000665
good,21.938803686362427,8.293937978990673,42.53987544062958,16.32032957156229,9.096577138247834,22.741442845619588,22.741442845619588,24.079174777714858,30.767834438191205,25.149360323391072,22.20635007278148,6.956206046895403,24.34672116413391,31.570473597448366,28.89500973325783,18.99579343575283,12.307133775276482,14.982597639467022,21.938803686362427,3.2105566370286476,13.912412093790806,26.754638641905395,10.701855456762159,16.8554223444004,23.811628391295802,14.982597639467022,0.0,13.912412093790806,31.302927211029314,23.00898923203864,20.86861814068621,4.280742182704864,13.644865707371752,16.587875957981346,12.84222654811459,11.50449461601932,21.403710913524318,18.99579343575283,21.13616452710526,2.407917477771486,34.51348384805796,27.55727780116256
sir,17.122968730819455,4.548288569123917,43.6100609863058,7.758845206152565,3.4781030234477015,9.899216297504996,21.13616452710526,25.951999482648233,18.99579343575283,22.47389645920053,24.88181393697202,30.500288051772152,4.013195796285809,23.811628391295802,20.86861814068621,6.153566887638241,9.899216297504996,27.824824187581612,29.162556119676882,0.0,7.758845206152565,36.11876216657228,1.070185545676216,10.434309070343105,14.447504866628915,18.19315427649567,0.0,2.9430102506095936,6.956206046895403,15.250144025886076,37.72404048508661,0.0,24.88181393697202,10.701855456762159,4.548288569123917,16.052783185143237,53.776823670229845,20.86861814068621,9.364123524666889,0.0,79.72882315287808,30.500288051772152
