Unnamed: 0,1H4,1H6,2H4,2H6,3H6,Ado,Ant,AWW,AYL,Cor,Cym,Err,H5,H8,Ham,JC,Jn,LLL,Lr,Luc,Mac,MM,MND,MV,Oth,Per,PhT,R2,R3,Rom,Shr,Son,TGV,Tim,Tit,Tmp,TN,TNK,Tro,Ven,Wiv,WT
thou,0.048773232925254824,0.03402372822796049,0.03288049881421817,0.03953115866068062,0.04236852999096026,0.0169166307133755,0.034785148149059704,0.019630523904396287,0.027910713857218234,0.019436984174208465,0.03326172300368997,0.02618417336937869,0.020790787424104153,0.004969059046571942,0.021177174767326792,0.02272092429740206,0.034404510938454376,0.018274754355001917,0.04255742479876341,0.018856082836455804,0.018274754355001917,0.02272092429740206,0.02272092429740206,0.020404217424001024,0.02829394358148313,0.018468578292116313,0.0009983978796403979,0.034404510938454376,0.0399099078490959,0.053460345039343694,0.02387688254680895,0.04538700010171886,0.028102348775900423,0.04047777965536725,0.03383328205326707,0.03592619487934065,0.02618417336937869,0.01652815341105984,0.02886848856914088,0.013803124894882725,0.012632103503832237,0.025607919141976982
thy,0.02164271062589194,0.03265632576878672,0.01587772908228045,0.036043405173292,0.03848140761078088,0.01025239231163905,0.02164271062589194,0.016649411723653525,0.01471836227007474,0.017997556106923704,0.025458878061703296,0.011615402259813251,0.014137831114014548,0.006337965927750794,0.01703489170269742,0.010642177623420242,0.021259946313314397,0.01491174597993277,0.03076863812204159,0.02240759973081,0.01025239231163905,0.010836963212017272,0.012780997571099248,0.011615402259813251,0.015684656133083702,0.012198505099933001,0.00019989665024259788,0.03378686165504437,0.04091283320788689,0.03265632576878672,0.016649411723653525,0.051132625697551295,0.01934285431257992,0.025839383196554218,0.039604404982406305,0.018958768525772083,0.02049376919093772,0.015298325354684983,0.019534812685252704,0.0110316780291181,0.008299056341595792,0.015491521660708597
act,0.0206680300403924,0.021432912600220726,0.022387780277132834,0.023150703916847783,0.02391278023365658,0.017983785875707807,0.026763248218761655,0.020859333992337192,0.01855993922034181,0.026763248218761655,0.02581435260434097,0.01451532103216058,0.02200599631345282,0.02219691532740227,0.02941369429730929,0.0195190228581838,0.0206680300403924,0.020285254060538903,0.025054335753496627,0.0011969603556494354,0.018175896221995638,0.02047667014474322,0.01567372963743634,0.01913556358295402,0.02657356810946366,0.017599386092516878,0.0,0.02047667014474322,0.028278935950344083,0.022578591388248588,0.017983785875707807,0.0001998924238092504,0.01682986214814576,0.017407096087861385,0.01894374712033886,0.01586657457262295,0.01779161592665367,0.023341301890975878,0.025054335753496627,0.0001998924238092504,0.01913556358295402,0.02219691532740227
sc,0.01968138101807689,0.020445479215972753,0.02101793633725692,0.02178040395247707,0.022161295829855345,0.01699939251770175,0.024441982772922182,0.018916327370175474,0.01757512958129844,0.02501093482476646,0.02330262741273851,0.013532573898553404,0.020063548445478193,0.020445479215972753,0.025579411073019562,0.01815030017763388,0.01815030017763388,0.019298974739149467,0.02311254408320615,0.0,0.016423080448513122,0.018341899263198548,0.01469060419409847,0.01757512958129844,0.023492655852865783,0.01584618453562977,0.0,0.019298974739149467,0.026904037583089634,0.021208639355251937,0.018916327370175474,0.0,0.01584618453562977,0.016230847127898518,0.017958639071000874,0.014304870321290655,0.016230847127898518,0.021208639355251937,0.022732211817408112,0.0,0.01757512958129844,0.020636356529111992
thee,0.020019931045449968,0.020019931045449968,0.01696622088869242,0.023814661183308345,0.023246957744234385,0.014664611086799992,0.02154069742900928,0.0156248437493348,0.017731221623090675,0.013509935595554154,0.01715757193527574,0.0131244479668233,0.012159390896547327,0.0037707450905328623,0.011772822707157675,0.010805003001096955,0.0156248437493348,0.011192373419048482,0.02683390570655271,0.008278870629220576,0.011966146255479006,0.008863127327989419,0.01273865640805596,0.012931590412362389,0.015048918678951336,0.011966146255479006,0.0001998730405131114,0.017348855505553422,0.023625484075516397,0.027022146317759885,0.01639175930552811,0.03133748767882005,0.016583314936536746,0.02645726460719582,0.02248920935523137,0.01925805566948016,0.01792230486354084,0.009252188615837896,0.017731221623090675,0.008278870629220576,0.010223329889428524,0.01273865640805596
lord,0.024897127643555176,0.02036330073345741,0.03163664092760863,0.02902386326527589,0.015026379431623233,0.014067417587374889,0.010598681304087677,0.04034055282232923,0.005733062038932525,0.004162482899245773,0.01960416105100089,0.001791944001789412,0.011371832579256076,0.02790100213021861,0.04273138302738015,0.008659609056194388,0.005733062038932525,0.010792098305360244,0.019224197189720044,0.00258424680624728,0.007491693116474151,0.015983463410305727,0.005733062038932525,0.009436326483396916,0.01770165089156503,0.014643023145964695,0.0,0.01827311646360991,0.047676422280549594,0.006124598861165806,0.010405177152058803,0.00019986324250253804,0.005733062038932525,0.03461088557034984,0.012143628061795756,0.005144941764318358,0.007686588460957067,0.004162482899245773,0.021878500754646566,0.0,0.000997264119824931,0.017320327299694602
king,0.02562785683644703,0.02053776799896649,0.022239447489045626,0.042684731271576036,0.07126031072201976,0.0003994856267429091,0.0017917213348727324,0.026190744227415234,0.0003994856267429091,0.0003994856267429091,0.008267382241012746,0.0001998592460940279,0.05416588749924007,0.045248136995429386,0.03900940669911857,0.0011960645076320641,0.04378424124803949,0.03346437766950597,0.014251046545521732,0.0021880590943639372,0.008461755233016463,0.0013947758743585222,0.001989964270524448,0.0007981370764388262,0.0003994856267429091,0.01059363156343024,0.0003994856267429091,0.05217078328015522,0.021672793684889197,0.0005989066815827218,0.0003994856267429091,0.0005989066815827218,0.0007981370764388262,0.0003994856267429091,0.0025838175115626685,0.008267382241012746,0.0007981370764388262,0.0013947758743585222,0.0013947758743585222,0.0005989066815827218,0.0007981370764388262,0.011944617981039516
now,0.016548847109078037,0.014828078542121299,0.01883409302429609,0.016548847109078037,0.02488168101808537,0.010014464471538354,0.017311724990904245,0.01078819419884293,0.011560518356920391,0.013485429896497338,0.0131011038943662,0.009433219578190601,0.01826372575873823,0.019213996827168876,0.01959363112086979,0.012524006327778498,0.013485429896497338,0.009820807559081816,0.015402341280848804,0.004947663311582838,0.010594895129165595,0.013293307119973794,0.013293307119973794,0.009433219578190601,0.020541555891914344,0.012331476070842617,0.0003994892404274675,0.011946165678551612,0.01826372575873823,0.01597592691082125,0.016357946943320885,0.009239287088938246,0.015019575428374505,0.01213886270672704,0.014061320576182418,0.01578480620539663,0.014061320576182418,0.01902407879060347,0.02092026847823096,0.009433219578190601,0.016357946943320885,0.02035210226415159
good,0.01596333931427138,0.006120653285638625,0.03046158299312081,0.01193840840195877,0.006706487706911549,0.016535508258360095,0.016535508258360095,0.017487644331779538,0.02222221009495577,0.018248051992707872,0.016154137232404,0.00514203028662518,0.017677853471826432,0.02278759798358187,0.02090074246567175,0.013859477164711984,0.009040420666987426,0.010974674912234424,0.01596333931427138,0.0023856339185063346,0.010202083500670391,0.01938655379071565,0.007875283050215452,0.012323293834346818,0.017297363044719273,0.010974674912234424,0.0,0.010202083500670391,0.02259919809635171,0.016726082229116652,0.015199387959665682,0.0031757947990266235,0.010008707287344567,0.012130893944857831,0.009428019370662686,0.008458297039209741,0.015581516471085872,0.013859477164711984,0.015390490651134629,0.001791496835190109,0.024855949000361355,0.019954877252693397
sir,0.012505470178304213,0.0033719389947009988,0.03116148877981443,0.0057268764494016215,0.0025827291425754772,0.0072873052069973195,0.015376201340556605,0.018797775209950372,0.01384746088543717,0.016329086479309262,0.01803949824584008,0.022008067674720827,0.0029776180713543556,0.017280059505666624,0.015185389789303535,0.004551674262419084,0.0072873052069973195,0.020122040828792338,0.021065886486457637,0.0,0.0057268764494016215,0.02594798276487845,0.0007980065427775673,0.007676314211202674,0.01058090606342942,0.013272830205595621,0.0,0.0021872503796401934,0.005139820230801113,0.011159224029683295,0.027068819705874693,0.0,0.01803949824584008,0.007870659768785477,0.0033719389947009988,0.011736721028643461,0.03817346420956328,0.015185389789303535,0.006897865635765906,0.0,0.05581003936741481,0.022008067674720827
